SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-52AB
SerialNumber: C88ED8C159C3D31B
Location: 0x0001
Start: 2024-09-01T17:33:12+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,1498,1000,458,371,481,0.101562,0.968750,0.074219,-2.240000,-2.240000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.453,
,,1499,1020,459,371,479,0.101562,0.968750,0.074219,-2.240000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.453,
,,1500,1040,458,372,480,0.097656,0.972656,0.054688,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.482,
,,1501,1060,457,373,481,0.097656,0.972656,0.054688,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.515,
,,1502,1080,459,371,479,0.097656,0.972656,0.054688,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.515,
,,1503,1100,458,373,480,0.085938,0.972656,0.054688,-1.120000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.544,
,,1504,1120,458,373,480,0.085938,0.972656,0.054688,-1.120000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.579,
,,1505,1140,459,372,480,0.085938,0.972656,0.054688,-1.120000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.579,
,,1506,1160,459,374,480,0.085938,0.972656,0.054688,-1.120000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.602,
,,1507,1180,460,373,480,0.085938,0.972656,0.066406,0.000000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.633,
,,1508,1200,458,375,479,0.085938,0.972656,0.066406,0.000000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.633,
,,1509,1220,460,375,479,0.085938,0.972656,0.066406,0.000000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.663,
,,1510,1240,460,376,479,0.085938,0.972656,0.066406,0.000000,-2.240000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.697,
,,1511,1260,461,376,478,0.117188,0.972656,0.054688,2.240000,-2.240000,-2.240000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.697,
,,1512,1280,462,378,480,0.117188,0.972656,0.054688,2.240000,-2.240000,-2.240000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.729,
,,1513,1300,461,378,479,0.117188,0.972656,0.054688,2.240000,-2.240000,-2.240000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.753,
