SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-08C8
SerialNumber: C510F3DE76F7D46D
Location: 0x0000
Start: 2024-09-01T17:33:12+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,1693,820,391,434,451,-0.078125,0.976562,0.015625,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.266,
,,1694,840,390,433,452,-0.085938,0.972656,0.050781,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.266,
,,1695,860,393,433,452,-0.085938,0.972656,0.050781,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.296,
,,1696,880,391,434,453,-0.085938,0.972656,0.050781,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.325,
,,1697,900,392,434,451,-0.085938,0.972656,0.050781,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.326,
,,1698,920,391,433,451,-0.074219,0.976562,0.019531,-1.120000,-3.360000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.355,
,,1699,940,391,434,452,-0.074219,0.976562,0.019531,-1.120000,-3.360000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.385,
,,1700,960,391,433,451,-0.074219,0.976562,0.019531,-1.120000,-3.360000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.386,
,,1701,980,391,434,452,-0.074219,0.976562,0.019531,-1.120000,-3.360000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.415,
,,1702,1000,390,433,451,-0.085938,0.976562,0.031250,-1.120000,-4.480000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.445,
,,1703,1020,391,433,452,-0.085938,0.976562,0.031250,-1.120000,-4.480000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.446,
,,1704,1040,391,434,450,-0.085938,0.976562,0.031250,-1.120000,-4.480000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.475,
,,1705,1060,392,433,452,-0.082031,0.972656,0.046875,-1.120000,-4.480000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.506,
,,1706,1080,390,433,452,-0.082031,0.972656,0.046875,-1.120000,-4.480000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.506,
,,1707,1100,392,435,451,-0.082031,0.972656,0.046875,-1.120000,-4.480000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.535,
,,1708,1120,390,433,452,-0.082031,0.972656,0.046875,-1.120000,-4.480000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.565,
,,1709,1140,391,435,452,-0.082031,0.980469,0.011719,0.000000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.566,
,,1710,1160,390,433,451,-0.082031,0.980469,0.011719,0.000000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.595,
,,1711,1180,392,433,451,-0.082031,0.980469,0.011719,0.000000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.625,
,,1712,1200,390,434,450,-0.082031,0.980469,0.011719,0.000000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.626,
,,1713,1220,390,434,452,-0.085938,0.976562,0.031250,-2.240000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.655,
,,1714,1240,391,432,452,-0.085938,0.976562,0.031250,-2.240000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.685,
,,1715,1260,392,433,450,-0.085938,0.976562,0.031250,-2.240000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.686,
,,1716,1280,391,434,451,-0.082031,0.976562,0.042969,-4.480000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.715,
