Index,Stock Value,Weighted Average,Sigma,Portfolio Value
310,106.41,108.32,2.03609,100.321
311,106.07,108.253,2.03658,100.017
312,107.355,108.226,2.03392,101.172
313,107.85,108.214,2.03078,101.617
314,107.29,108.187,2.02819,101.114
315,106.65,108.141,2.02671,100.539
316,107.33,108.116,2.02399,101.15
317,107.04,108.084,2.02165,100.889
318,107.43,108.064,2.0188,101.239
319,106.655,108.022,2.01709,100.543
320,106.79,107.985,2.01505,100.664
321,106.45,107.939,2.01363,100.359
322,105.94,107.879,2.0134,99.9005
323,105.58,107.81,2.0141,99.5771
324,105.17,107.731,2.01601,99.2068
325,103.83,107.614,2.0238,97.9914
326,104.42,107.518,2.02795,98.5287
327,104.38,107.424,2.03182,98.4922
328,104.18,107.327,2.03613,98.3088
329,104.16,107.232,2.04007,98.2904
330,104.29,107.143,2.04301,98.4103
331,104.33,107.059,2.04542,98.4472
332,105.47,107.011,2.04409,99.503
333,103.29,106.9,2.05057,97.4841
334,103.14,106.787,2.05717,97.3449
335,103.03,106.674,2.06371,97.2426
336,103.09,106.567,2.06933,97.2985
337,102.94,106.458,2.07511,97.1587
338,102.89,106.351,2.08055,97.112
339,100.96,106.189,2.09676,95.3086
340,101.8,106.057,2.10633,96.0943
341,101.895,105.933,2.11455,96.1832
342,101.22,105.791,2.12585,95.5508
343,101.015,105.648,2.1374,95.3585
344,100.95,105.507,2.14835,95.2975
345,101.23,105.379,2.15681,95.5604
346,96.98,105.127,2.19765,91.5679
347,96.73,104.875,2.2375,91.333
348,97.83,104.663,2.26404,92.3673
349,97.85,104.459,2.28824,92.3861
350,98.82,104.29,2.30355,93.2989
351,98.855,104.127,2.31738,93.3319
352,98.84,103.968,2.33013,93.3178
353,98.7,103.81,2.34264,93.1859
354,98.48,103.65,2.35537,92.9786
355,98.85,103.506,2.36497,93.3273
356,98.21,103.347,2.37726,92.7241
357,98,103.187,2.38971,92.5261
358,97.88,103.028,2.4018,92.413
359,98.18,102.882,2.41123,92.6959
360,98.5,102.751,2.41826,92.9977
361,98.26,102.616,2.42575,92.7713
362,98.55,102.494,2.43123,93.0449
363,98.47,102.373,2.4365,92.9694
364,98.04,102.243,2.44308,92.5637
365,98.68,102.136,2.44642,93.1675
366,98.825,102.037,2.44883,93.3044
367,99.59,101.964,2.44863,94.0262
368,99.61,101.893,2.4482,94.0451
369,99.12,101.81,2.44889,93.5827
370,99.3,101.735,2.44885,93.7526
371,99.74,101.675,2.44761,94.1678
372,99.29,101.603,2.44726,93.7432
373,99.275,101.533,2.44677,93.729
374,99.91,101.485,2.44486,94.3282
375,100.66,101.46,2.44196,95.036
376,101.17,101.451,2.43876,95.5173
377,101.81,101.462,2.4356,96.1212
378,101.58,101.466,2.43239,95.9042
379,101.67,101.472,2.42921,95.9891
380,101.9,101.485,2.42611,96.2062
381,101.64,101.489,2.42295,95.9608
382,101.66,101.494,2.4198,95.9797
383,102.25,101.517,2.41693,96.5364
384,102.81,101.556,2.41464,97.0649
385,102.511,101.584,2.41197,96.7831
386,102.231,101.604,2.40906,96.5182
387,102.42,101.628,2.40629,96.6969
388,102.62,101.658,2.40369,96.8856
389,102.64,101.688,2.40109,96.9045
390,102.06,101.699,2.39809,96.3571
391,101.97,101.707,2.39507,96.2722
392,102.04,101.717,2.39207,96.3383
393,101.95,101.724,2.38906,96.2533
394,101.795,101.726,2.38604,96.1071
395,101.97,101.733,2.38305,96.2722
396,102.485,101.756,2.38033,96.7582
397,102.07,101.765,2.37739,96.3666
398,102.195,101.778,2.3745,96.4845
399,101.95,101.783,2.37154,96.2533
400,102.06,101.792,2.36862,96.3571
401,102.3,101.807,2.3658,96.5836
402,101.5,101.798,2.36291,95.8287
403,100.76,101.767,2.36052,95.1304
404,101.07,101.746,2.35784,95.4229
405,100.77,101.716,2.3554,95.1398
406,100.4,101.677,2.35336,94.7906
407,100.835,101.652,2.35082,95.2011
408,100.27,101.61,2.34888,94.668
409,99.92,101.559,2.34741,94.3377
410,99.64,101.502,2.34635,94.0734
411,99.15,101.431,2.3462,93.611
412,99.575,101.376,2.34503,94.0121
413,99.68,101.325,2.34359,94.1112
414,99.9,101.282,2.34175,94.3188
415,100.08,101.246,2.33963,94.4887
416,98.375,101.16,2.3408,92.8797
417,98.01,101.065,2.34277,92.5352
418,97.87,100.969,2.34486,92.4031
419,98.15,100.885,2.34587,92.6674
420,98.02,100.799,2.34699,92.5447
421,97.915,100.712,2.34816,92.4456
422,97.98,100.63,2.34892,92.5069
423,98.1,100.555,2.34918,92.6202
424,97.74,100.47,2.35015,92.2804
425,97.685,100.387,2.35103,92.2285
426,97.51,100.3,2.35216,92.0633
427,97.39,100.213,2.35337,91.95
428,97.47,100.131,2.35413,92.0255
429,97.57,100.054,2.35444,92.1199
430,98.33,100.002,2.35308,92.8374
431,97.92,99.9397,2.35237,92.4503
432,97.55,99.868,2.35229,92.101
433,97.29,99.7906,2.35264,91.8556
434,97.25,99.7144,2.3529,91.8178
435,97.075,99.6352,2.3534,91.6526
436,96.77,99.5493,2.35446,91.3647
437,96.99,99.4725,2.35476,91.5724
438,96.4,99.3803,2.35638,91.0154
439,96.435,99.292,2.35764,91.0484
440,96.73,99.2151,2.35793,91.3269
441,96.885,99.1452,2.35772,91.4732
442,96.65,99.0703,2.35786,91.2514
443,96.21,98.9845,2.35888,90.836
444,96.3,98.904,2.35946,90.9209
445,96.425,98.8296,2.35956,91.039
446,97.055,98.7764,2.35833,91.6337
447,96.8,98.7171,2.35743,91.393
448,96.525,98.6513,2.35694,91.1334
449,96.185,98.5773,2.35702,90.8124
450,96.1,98.503,2.35713,90.7321
451,96.805,98.4521,2.35579,91.3977
452,96.24,98.3857,2.35535,90.8643
453,96.53,98.33,2.35427,91.1381
454,96.91,98.2874,2.35257,91.4969
455,97.1,98.2518,2.35061,91.6762
456,97.41,98.2266,2.34834,91.9689
457,97.385,98.2013,2.34609,91.9453
458,98.15,98.1998,2.34353,92.6676
459,97.51,98.1791,2.34119,92.0633
460,96.725,98.1355,2.33957,91.3222
461,96.635,98.0905,2.33802,91.2372
462,96.26,98.0355,2.33695,90.8832
463,96.17,97.9796,2.33594,90.7982
464,96.43,97.9331,2.33447,91.0437
465,96,97.8751,2.33358,90.6377
466,96.0625,97.8207,2.3325,90.6967
467,95.985,97.7656,2.33146,90.6235
468,95.53,97.6986,2.33113,90.194
469,95.41,97.6299,2.3309,90.0807
