SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-52AB
SerialNumber: C88ED8C159C3D31B
Location: 0x0001
Start: 2024-08-31T17:03:24+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,12948,2220,442,652,389,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.828,
,,12949,2240,442,653,388,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.855,
,,12950,2260,441,653,388,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.856,
,,12951,2280,441,652,389,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.886,
,,12952,2300,443,652,388,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.915,
,,12953,2320,442,654,389,-0.105469,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.946,
,,12954,2340,441,652,388,-0.105469,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.946,
,,12955,2360,441,654,388,-0.105469,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.947,
,,12956,2380,441,652,388,-0.105469,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.980,
,,12957,2400,442,652,389,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.006,
